Business Name,Phone Number,Address,Rating,Reviews Count,Google Maps Link,Business Type,Location
"Lloyd's Real Estate Consulting","0813 311 8372","Bola Arowolo Street, 10 Bola Arowolo, Atunrase Estate, Gbagada, Lagos 100234","3.8","814","https://www.google.com/maps/place/Lloyd's+Real+Estate+Consulting/@6.5510154,3.3821389,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d77292e3393:0xd0bb051cddc37970!8m2!3d6.5510154!4d3.3821389!16s%2Fg%2F1hhjvwpgc","real estate","Shomolu, Lagos"
"Naija Real Estate Hq","0808 249 4381","Abule ijesha, Lagos 101245, Lagos","4.3","3","https://www.google.com/maps/place/Naija+Real+Estate+Hq/@6.524379,3.379206,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8c5555555555:0x278f12db69f72a9a!8m2!3d6.524379!4d3.379206!16s%2Fg%2F11h4pcmxlb","real estate","Shomolu, Lagos"
"Kings Royale Realtors","0806 281 1055","15 oshipitan street, off Pedro road, palm groove bus stop, Yaba, Lagos, Yaba, Lagos","5.0","1","https://www.google.com/maps/place/Kings+Royale+Realtors/@6.542157,3.3808769,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8c585a8ec435:0xf8e7055c9591e00a!8m2!3d6.542157!4d3.3808769!16s%2Fg%2F119vndrqy","real estate","Shomolu, Lagos"
"Marole Realtors and House Agents","0814 265 8244","14 Ajayi Aina Street, Ifako Gbagada Ifako, Gbagada, Lagos 100234","5.0","1","https://www.google.com/maps/place/Marole+Realtors+and+House+Agents/@6.5568483,3.3897766,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8dc7f4f9f289:0x329823d427d4da67!8m2!3d6.5568483!4d3.3897766!16s%2Fg%2F11p5nb6v8g","real estate","Shomolu, Lagos"
"Tosinene Realty","0901 117 9584","22 Alhaji Salisu St, Obanikoro, Lagos 102216, Lagos","5.0","2","https://www.google.com/maps/place/Tosinene+Realty/@6.5496368,3.370514,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8dffdc0b2b2b:0x94da2d103e03dab0!8m2!3d6.5496368!4d3.370514!16s%2Fg%2F11v9v65rrw","real estate","Shomolu, Lagos"
"Affluence Properties- Real Estate Agent in Lagos Nigeria | Property For Sale in Lagos | Land for Sale in Nigeria","0906 637 1290","N/A","5.0","3","https://www.google.com/maps/place/Affluence+Properties-+Real+Estate+Agent+in+Lagos+Nigeria+%7C+Property+For+Sale+in+Lagos+%7C+Land+for+Sale+in+Nigeria/@7.7539855,5.3151236,8z/data=!3m1!4b1!4m6!3m5!1s0x69a833728e07132b:0x8d2fc86e7fff7b35!8m2!3d7.7539856!4d5.3151236!16s%2Fg%2F11v3_3plg8","real estate","Shomolu, Lagos"
"Shelter Land And Properties","0805 631 3127","8 Opanubi St, Palmgrove, Lagos 102216, Lagos","5.0","1","https://www.google.com/maps/place/Shelter+Land+And+Properties/@6.5407064,3.3694563,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d09aa7ffb61:0x404ffb9a0c6d976!8m2!3d6.5407064!4d3.3694563!16s%2Fg%2F11s66lpzws","real estate","Shomolu, Lagos"
"Kolasola Properties Enterprises","0803 330 1353","36,salawu onikuyi street, by barrack bus-stop Ifako, Gbagada, Lagos","4.0","4","https://www.google.com/maps/place/Kolasola+Properties+Enterprises/@6.5581264,3.3919858,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d7c51746bab:0xde36ffe15f5cc501!8m2!3d6.5581264!4d3.3919858!16s%2Fg%2F11gblf297q","real estate","Shomolu, Lagos"
"Kings Hotel and Bar","0901 143 4406","72 olateju street,odi-olowo mushin,lagos state mushin local goverment lagos, Lagos","4.0","272","https://www.google.com/maps/place/Kings+Hotel+and+Bar/@6.5358292,3.3589002,17z/data=!3m1!4b1!4m9!3m8!1s0x103b8db9af0c57e1:0x2388065ce3788847!5m2!4m1!1i2!8m2!3d6.5358292!4d3.3589002!16s%2Fg%2F11h7s2qkhb","hotels","Shomolu, Lagos"
"Million Dollars Imperial Hotel","0816 006 3805","5 Gbala St, Gbagada, Lagos 105102, Lagos","3.3","219","https://www.google.com/maps/place/Million+Dollars+Imperial+Hotel/@6.5579604,3.3853826,17z/data=!3m1!4b1!4m9!3m8!1s0x103b8d7a3924fff5:0xaeb722d6152f6fe!5m2!4m1!1i2!8m2!3d6.5579604!4d3.3853826!16s%2Fg%2F11b6_dj98m","hotels","Shomolu, Lagos"
"Royal Hills Hotel & Suites","0904 333 4445","38 Anu Oluwapo St, Somolu, Lagos 102216, Lagos","3.9","180","https://www.google.com/maps/place/Royal+Hills+Hotel+%26+Suites/@6.5309808,3.3768948,17z/data=!3m1!4b1!4m9!3m8!1s0x103b8d1000000001:0xc1c7e71f95eb8448!5m2!4m1!1i2!8m2!3d6.5309808!4d3.3768948!16s%2Fg%2F11dfgk8ysh","hotels","Shomolu, Lagos"
