Business Name,Phone Number,Address,Rating,Reviews Count,Google Maps Link,Business Type,Location
Mahc Chiropractic and Massage Center,0703 042 0960,"college of health, No 11, Awonubi Street, Off Oke Street By Johnson Bus Stop, Pedro Bariga, Bariga, 100234, Lagos",5.0,9,"https://www.google.com/maps/place/Mahc+Chiropractic+and+Massage+Center/@6.5449607,3.3778917,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d933eae2783:0x458d555d82c56c30!8m2!3d6.5449607!4d3.3778917!16s%2Fg%2F11y31v0plq",chiropractor,"Shomolu, Lagos"
ABRAHAMS CHIROPRACTIC AND MASSAGE THERAPY SERVICES,0815 937 4212,"No 11, Awonubi Street, Off Oke Street By Johnson Bus stop, Pedro Bariga Lagos Somolu, Pedro, Lagos",N/A,N/A,"https://www.google.com/maps/place/ABRAHAMS+CHIROPRACTIC+AND+MASSAGE+THERAPY+SERVICES/@6.4992292,3.3354877,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8fdb02d6f0a3:0x730e38aa165ed61a!8m2!3d6.4992292!4d3.3354877!16s%2Fg%2F11vhw5hl65",chiropractor,"Shomolu, Lagos"
St. Luke's Chiropractic Specialist Clinic,0806 932 3584,"2 Ekololu St, Surulere, Lagos 101241, Lagos",N/A,N/A,"https://www.google.com/maps/place/St.+Luke's+Chiropractic+Specialist+Clinic/@6.5122818,3.3553176,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8daeecc992ef:0xb42ca2bfba89e221!8m2!3d6.5122818!4d3.3553176!16s%2Fg%2F11rfcw7rm2",chiropractor,"Shomolu, Lagos"
Chiropractor specialist,0706 651 6410,"33 Community Rd, Allen, Ikeja 101233, Lagos",4.5,2,"https://www.google.com/maps/place/Chiropractor+specialist/@6.600737,3.3568287,17z/data=!3m1!4b1!4m6!3m5!1s0x103b93bb669c980d:0x6378d5e4863c0983!8m2!3d6.600737!4d3.3568287!16s%2Fg%2F11rwlvx601",chiropractor,"Shomolu, Lagos"
Island Chiropractic Clinic,0803 235 3077,"6 Saka Tinubu St, Victoria Island, Lagos 106104, Lagos",5.0,3,"https://www.google.com/maps/place/Island+Chiropractic+Clinic/@6.426633,3.4171246,17z/data=!3m1!4b1!4m6!3m5!1s0x103bf5579ed3ab5f:0x567fd678d7a4e636!8m2!3d6.426633!4d3.4171246!16s%2Fg%2F11h_crtfjf",chiropractor,"Shomolu, Lagos"
Citytrost services ltd,N/A,"1 Oliyide St, Mushin, Lagos 102215, Lagos",N/A,N/A,"https://www.google.com/maps/place/Citytrost+services+ltd/@6.5325568,3.3493312,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d0031be1c73:0x1071eb12ada99ab9!8m2!3d6.5325568!4d3.3493312!16s%2Fg%2F11y5pcnyzp",chiropractor,"Shomolu, Lagos"
Island Chiropractic Clinic,0803 235 3077,"4a Ologun Agbaje St, Victoria Island, Lagos 101241, Lagos",4.9,7,"https://www.google.com/maps/place/Island+Chiropractic+Clinic/@6.4247857,3.4167739,17z/data=!3m1!4b1!4m6!3m5!1s0x103bf5814814812d:0xcecb2d6a8a14ecb4!8m2!3d6.4247857!4d3.4167739!16s%2Fg%2F11gtb96c98",chiropractor,"Shomolu, Lagos"
DragonLord Elites Chiropractic Center,0803 333 3874,"CHJ6+V73, Cityscape Blvd, Eti-Osa, Lagos 106104, Lagos",5.0,1,"https://www.google.com/maps/place/DragonLord+Elites+Chiropractic+Center/@6.432127,3.56066,17z/data=!3m1!4b1!4m6!3m5!1s0x103bf785973d6779:0xacf77982c281686b!8m2!3d6.432127!4d3.56066!16s%2Fg%2F11ht4ztrk5",chiropractor,"Shomolu, Lagos"
Heavenclinic,0806 304 2996,"148 idimu road seliat bustop Egbeda, Alimosho, Lagos 100275",3.8,4,"https://www.google.com/maps/place/Heavenclinic/@6.5871093,3.2861145,17z/data=!3m1!4b1!4m6!3m5!1s0x103b91f2854030ab:0x7af9c42a9820c068!8m2!3d6.5871093!4d3.2861145!16s%2Fg%2F11q7ybzcyc",chiropractor,"Shomolu, Lagos"
Mahc Chiropractic and Massage Center,0703 042 0960,"college of health, No 11, Awonubi Street, Off Oke Street By Johnson Bus Stop, Pedro Bariga, Bariga, 100234, Lagos",5.0,9,"https://www.google.com/maps/place/Mahc+Chiropractic+and+Massage+Center/@6.5449607,3.3778917,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d933eae2783:0x458d555d82c56c30!8m2!3d6.5449607!4d3.3778917!16s%2Fg%2F11y31v0plq",chiropractor,"Yaba, Lagos"
ABRAHAMS CHIROPRACTIC AND MASSAGE THERAPY SERVICES,0815 937 4212,"No 11, Awonubi Street, Off Oke Street By Johnson Bus stop, Pedro Bariga Lagos Somolu, Pedro, Lagos",N/A,N/A,"https://www.google.com/maps/place/ABRAHAMS+CHIROPRACTIC+AND+MASSAGE+THERAPY+SERVICES/@6.4992292,3.3354877,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8fdb02d6f0a3:0x730e38aa165ed61a!8m2!3d6.4992292!4d3.3354877!16s%2Fg%2F11vhw5hl65",chiropractor,"Yaba, Lagos"
St. Luke's Chiropractic Specialist Clinic,0806 932 3584,"2 Ekololu St, Surulere, Lagos 101241, Lagos",N/A,N/A,"https://www.google.com/maps/place/St.+Luke's+Chiropractic+Specialist+Clinic/@6.5122818,3.3553176,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8daeecc992ef:0xb42ca2bfba89e221!8m2!3d6.5122818!4d3.3553176!16s%2Fg%2F11rfcw7rm2",chiropractor,"Yaba, Lagos"
Island Chiropractic Clinic,0803 235 3077,"6 Saka Tinubu St, Victoria Island, Lagos 106104, Lagos",5.0,3,"https://www.google.com/maps/place/Island+Chiropractic+Clinic/@6.426633,3.4171246,17z/data=!3m1!4b1!4m6!3m5!1s0x103bf5579ed3ab5f:0x567fd678d7a4e636!8m2!3d6.426633!4d3.4171246!16s%2Fg%2F11h_crtfjf",chiropractor,"Yaba, Lagos"
