Business Name,Phone Number,Address,Rating,Reviews Count,Google Maps Link,Business Type,Location
AURACE HOMES AND PROPERTIES,0816 093 1060,"10 Omoyele Pratt street ifako Gbagada, Gbagada, Lagos 101233",5.0,3,"https://www.google.com/maps/place/AURACE+HOMES+AND+PROPERTIES/@6.5633513,3.388451,17z/data=!3m1!4b1!4m6!3m5!1s0x103bf96f2f5f9893:0x33eb3a10a2dfa9cc!8m2!3d6.5633513!4d3.388451!16s%2Fg%2F11rn5j2z05",real estate agents,"Gbadaga, Lagos"
Dozymax Homes And Properties,0802 924 9721,"36 Diya St, Gbagada, Lagos 105102, Lagos",5.0,3,"https://www.google.com/maps/place/Dozymax+Homes+And+Properties/@6.5541664,3.3902545,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d713eb5f9c5:0xa749b73448a3c2c9!8m2!3d6.5541664!4d3.3902545!16s%2Fg%2F11h0zbdmhd",real estate agents,"Gbadaga, Lagos"
Marole Realtors and House Agents,0814 265 8244,"14 Ajayi Aina Street, Ifako Gbagada Ifako, Gbagada, Lagos 100234",5.0,1,"https://www.google.com/maps/place/Marole+Realtors+and+House+Agents/@6.5568483,3.3897766,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8dc7f4f9f289:0x329823d427d4da67!8m2!3d6.5568483!4d3.3897766!16s%2Fg%2F11p5nb6v8g",real estate agents,"Gbadaga, Lagos"
Diamond property agency,0901 176 7883,"adjascent. Gbagada, 1 Akerele St, Gbagada, Lagos 101111, Lagos",5.0,1,"https://www.google.com/maps/place/Diamond+property+agency/@6.554527,3.3889483,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d1aabd0d44b:0x30a22c75d91815f0!8m2!3d6.554527!4d3.3889483!16s%2Fg%2F11smmdlg90",real estate agents,"Gbadaga, Lagos"
Kolasola Properties Enterprises,0803 330 1353,"36,salawu onikuyi street, by barrack bus-stop Ifako, Gbagada, Lagos",4.0,4,"https://www.google.com/maps/place/Kolasola+Properties+Enterprises/@6.5581264,3.3919858,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d7c51746bab:0xde36ffe15f5cc501!8m2!3d6.5581264!4d3.3919858!16s%2Fg%2F11gblf297q",real estate agents,"Gbadaga, Lagos"
Lloyd's Real Estate Consulting,0813 311 8372,"Bola Arowolo Street, 10 Bola Arowolo, Atunrase Estate, Gbagada, Lagos 100234",3.8,814,"https://www.google.com/maps/place/Lloyd's+Real+Estate+Consulting/@6.5510154,3.3821389,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d77292e3393:0xd0bb051cddc37970!8m2!3d6.5510154!4d3.3821389!16s%2Fg%2F1hhjvwpgc",real estate agents,"Gbadaga, Lagos"
GeniusRealtors,0708 409 7241,"15 Adeleye St, Gbagada, Lagos 102216, Lagos",5.0,1,"https://www.google.com/maps/place/GeniusRealtors/@6.5547209,3.395205,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d68c6de69f1:0x9176d4e4c26aa975!8m2!3d6.5547209!4d3.395205!16s%2Fg%2F11q99q9dv5",real estate agents,"Gbadaga, Lagos"
"Millennium Estate Residents Association (MERA), Gbagada, Lagos.",0803 315 7427,"Behind UPS, Via Westex Bus Stop Kosofe, Gbagada, Lagos",4.3,287,"https://www.google.com/maps/place/Millennium+Estate+Residents+Association+(MERA),+Gbagada,+Lagos./@6.5542975,3.3771112,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d4bfff96a17:0x52396091f3adcfa9!8m2!3d6.5542975!4d3.3771112!16s%2Fg%2F11kghv1ty7",real estate agents,"Gbadaga, Lagos"
Millennium Estate,N/A,"Sodipo Millenium Estate, 12 Gbolahan Shodipo St, Gbagada, Lagos 105102, Lagos",4.2,331,"https://www.google.com/maps/place/Millennium+Estate/@6.5603068,3.3788202,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8df96238c9e1:0xf965cbeba70e8079!8m2!3d6.5603068!4d3.3788202!16s%2Fg%2F11hyqgq87x",real estate agents,"Gbadaga, Lagos"
Enyte's Investments & Properties Limited,0813 744 1449,"Gbagada Express Way, Gbagada, Lagos 105102, Lagos",5.0,1,"https://www.google.com/maps/place/Enyte's+Investments+%26+Properties+Limited/@6.5512359,3.3917632,17z/data=!3m1!4b1!4m6!3m5!1s0x103b97c371ea347f:0x1fa677261be8c38c!8m2!3d6.5512359!4d3.3917632!16s%2Fg%2F11p56t5nd1",real estate agents,"Gbadaga, Lagos"
Geb Properties,0708 261 8585,"16 Diya Str, Ifako, 16 Diya St, Gbagada, Lagos",4.0,1,"https://www.google.com/maps/place/Geb+Properties/@6.5527941,3.3916864,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8de3ae68e493:0x50a2587c44cb4b40!8m2!3d6.5527941!4d3.3916864!16s%2Fg%2F11s66lm_nt",real estate agents,"Gbadaga, Lagos"
Real care homes and property,0803 843 4835,"4 Ladejobi St, Ikate, Lagos 101241, Lagos",5.0,8,"https://www.google.com/maps/place/Real+care+homes+and+property/@6.5012985,3.3452164,17z/data=!3m1!4b1!4m6!3m5!1s0x103b85416373d80f:0x78fc3c44a45712c3!8m2!3d6.5012985!4d3.3452164!16s%2Fg%2F11pl1wj941",real estate agents,"Surulere, Lagos"
Adebest Construction and Real Estate Homes Limited,0802 666 9222,"23 Ramoni St, off Adenike Street, Ikate, Lagos 101212, Lagos",5.0,2,"https://www.google.com/maps/place/Adebest+Construction+and+Real+Estate+Homes+Limited/@6.5092992,3.3400182,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8dc5151fd8ef:0xa8faaeeeacc0e0a0!8m2!3d6.5092992!4d3.3400182!16s%2Fg%2F11m78s9r05",real estate agents,"Surulere, Lagos"
AREO HOMES - Trusted Realtor & Real Estate Consultant in Lagos,0818 515 7164,"16 Akinwande St, Surulere, Lagos 100001, Lagos",4.0,1,"https://www.google.com/maps/place/AREO+HOMES+-+Trusted+Realtor+%26+Real+Estate+Consultant+in+Lagos/@6.517671,3.3636242,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d126fdf331d:0x2a11e4930ef8b49f!8m2!3d6.517671!4d3.3636242!16s%2Fg%2F11n05mvswl",real estate agents,"Surulere, Lagos"
Views Realtors Properties Investment Ltd.,0814 496 2136,"Surulere, 73 Oju Elegba Rd, Lagos",5.0,1,"https://www.google.com/maps/place/Views+Realtors+Properties+Investment+Ltd./@6.5099239,3.3635729,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8c46985d5259:0x7e7800b5bf66b7ab!8m2!3d6.5099239!4d3.3635729!16s%2Fg%2F1q67g9t5l",real estate agents,"Surulere, Lagos"
IDSON HOMES AND PROPERTIES,0703 061 2984,"Alade Cl, Surulere, Lagos 101241, Lagos",5.0,1,"https://www.google.com/maps/place/IDSON+HOMES+AND+PROPERTIES/@6.4982617,3.325167,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8f0bc8ef6333:0x9114eb8f23abcb88!8m2!3d6.4982617!4d3.325167!16s%2Fg%2F11vky_46mw",real estate agents,"Surulere, Lagos"
OCIMU Properties Limited,0806 456 0260,"1 Taoridi St, Off Bode Thomas junction, Lagos 101211, Lagos",5.0,2,"https://www.google.com/maps/place/OCIMU+Properties+Limited/@6.4888976,3.3480834,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8c0593eb5af3:0x5e4b6fe953007099!8m2!3d6.4888976!4d3.3480834!16s%2Fg%2F11gcfszfwk",real estate agents,"Surulere, Lagos"
Dalelo Real Estate,0813 919 4403,"9 Adeniran Ogunsanya St, Surulere, Lagos 101211, Lagos",4.3,3,"https://www.google.com/maps/place/Dalelo+Real+Estate/@6.4965856,3.3580013,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d9cc8d35643:0x130441d9942091af!8m2!3d6.4965856!4d3.3580013!16s%2Fg%2F11q1gfyn_p",real estate agents,"Surulere, Lagos"
Flintop properties limited,0701 171 1387,"1c Olubunmi Alonge St, Surulere, Lagos 100001, Lagos",5.0,1,"https://www.google.com/maps/place/Flintop+properties+limited/@6.492646,3.3332728,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8fb9df7037fb:0xd7d568046aa5b72!8m2!3d6.492646!4d3.3332728!16s%2Fg%2F11p75lfhrw",real estate agents,"Surulere, Lagos"
Oasis global properties,0802 531 3072,"34 Adeniran Ogunsanya St, Surulere, Lagos 101241, Lagos",5.0,1,"https://www.google.com/maps/place/Oasis+global+properties/@6.4963948,3.3576469,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8c1315aa2085:0x265a8e3deabddfca!8m2!3d6.4963948!4d3.3576469!16s%2Fg%2F11f29zzjq4",real estate agents,"Surulere, Lagos"
Madeb Apartment,0708 026 2560,"5 Adeyemi Ajayi St, ERUNKAN, Lagos 105102, Lagos",3.0,1,"https://www.google.com/maps/place/Madeb+Apartment/@6.6075516,3.421056,17z/data=!3m1!4b1!4m6!3m5!1s0x103bedfa6b2bd237:0x478e3c47bf123cf!8m2!3d6.6075516!4d3.421056!16s%2Fg%2F11lv7h61yw",real estate agents,"Shomolu, Lagos"
Peniel's Honour Limited ( Real Estate Company),0803 472 8642,"52 Diya St, Gbagada, Lagos 105102, Lagos",N/A,N/A,"https://www.google.com/maps/place/Peniel's+Honour+Limited+(+Real+Estate+Company)/@6.5549976,3.3893055,17z/data=!3m1!4b1!4m6!3m5!1s0x103b91b2d656a449:0x2a3ddf7b7f32456a!8m2!3d6.5549976!4d3.3893055!16s%2Fg%2F11gl07pdhw",real estate agents,"Shomolu, Lagos"
Famous Global Conceptz (Official),0818 024 2285,"10 Diya St, Gbagada, Lagos 105102, Lagos",5.0,1,"https://www.google.com/maps/place/Famous+Global+Conceptz+(Official)/@6.5522595,3.3920574,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8dd50a0d04e9:0x693370266f0f505a!8m2!3d6.5522595!4d3.3920574!16s%2Fg%2F11j019whpj",real estate agents,"Shomolu, Lagos"
Seftak Properties,0803 376 5384,"4 Ajoke Salako Street Ifako, Gbagada, Lagos 100234",5.0,1,"https://www.google.com/maps/place/Seftak+Properties/@6.5582215,3.3899502,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8daa86708b21:0xcf2308bd0640f07a!8m2!3d6.5582215!4d3.3899502!16s%2Fg%2F11fkccnmf7",real estate agents,"Shomolu, Lagos"
theskvhomes,0812 816 3422,"41 Diya st Ifako, Gbagada, Lagos 100242",5.0,6,"https://www.google.com/maps/place/theskvhomes/@6.5537868,3.3901968,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8de18358f569:0x7c356afb62a8ada8!8m2!3d6.5537868!4d3.3901968!16s%2Fg%2F11vbdjxqjv",real estate agents,"Shomolu, Lagos"
Affluence Properties- Real Estate Agent in Lagos Nigeria | Property For Sale in Lagos | Land for Sale in Nigeria,0906 637 1290,N/A,5.0,3,"https://www.google.com/maps/place/Affluence+Properties-+Real+Estate+Agent+in+Lagos+Nigeria+%7C+Property+For+Sale+in+Lagos+%7C+Land+for+Sale+in+Nigeria/@7.7539855,5.3151236,8z/data=!3m1!4b1!4m6!3m5!1s0x69a833728e07132b:0x8d2fc86e7fff7b35!8m2!3d7.7539856!4d5.3151236!16s%2Fg%2F11v3_3plg8",real estate agents,"Shomolu, Lagos"
Real estate agent gbagada,0809 431 0337,"Miniflat at Gbagada Roomself at Gbagada, Gbagada, Lagos 100211",4.0,1,"https://www.google.com/maps/place/Real+estate+agent+gbagada/@6.5583517,3.3914817,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d9606b017cd:0xe70bee16fa9b3894!8m2!3d6.5583517!4d3.3914817!16s%2Fg%2F11rxj6fvsd",real estate agents,"Shomolu, Lagos"
ProperTeam Limited,14540576,"68 Olonode Street, Off Huges Avenue, Yaba, Lagos",4.8,4,"https://www.google.com/maps/place/ProperTeam+Limited/@6.5013457,3.3774743,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8c60597ea7ad:0xc121e3a563038762!8m2!3d6.5013457!4d3.3774743!16s%2Fg%2F11gglv6_3y",real estate agents,"Yaba, Lagos"
Kings Royale Realtors,0806 281 1055,"15 oshipitan street, off Pedro road, palm groove bus stop, Yaba, Lagos, Yaba, Lagos",5.0,1,"https://www.google.com/maps/place/Kings+Royale+Realtors/@6.542157,3.3808769,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8c585a8ec435:0xf8e7055c9591e00a!8m2!3d6.542157!4d3.3808769!16s%2Fg%2F119vndrqy",real estate agents,"Yaba, Lagos"
LB3 HOMES,0901 911 1606,"Akinwunmi St, Yaba, Lagos Mainland 101212, Lagos",5.0,1,"https://www.google.com/maps/place/LB3+HOMES/@6.500583,3.3801675,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d26c1ecb3f7:0xf1cc985312f9292e!8m2!3d6.500583!4d3.3801675!16s%2Fg%2F11lnnpn2pg",real estate agents,"Yaba, Lagos"
RESYD Real Estate,0808 263 0496,"15 Adekunle St, Old Yaba Rd, Yaba, Lagos 101245, Lagos",5.0,2,"https://www.google.com/maps/place/RESYD+Real+Estate/@6.4944858,3.379928,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d8e1da2d83f:0xf0157ebb7874f41!8m2!3d6.4944858!4d3.379928!16s%2Fg%2F11yjhjmzkd",real estate agents,"Yaba, Lagos"
Triple A Properties,0806 032 2772,"290 Borno Way, Alagomeji-Yaba, Lagos 100001, Lagos",5.0,1,"https://www.google.com/maps/place/Triple+A+Properties/@6.4961088,3.378448,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8d711094d525:0xbe1d1e2fdbb414da!8m2!3d6.4961088!4d3.378448!16s%2Fg%2F11q2vn0_bd",real estate agents,"Yaba, Lagos"
Lanre Onitolo Realtors,0802 433 8591,"No. 10 B, Afariogun Street, Off Obafemi Awolowo Way, Ikeja, Yaba, Lagos",5.0,1,"https://www.google.com/maps/place/Lanre+Onitolo+Realtors/@6.5106575,3.3657962,17z/data=!3m1!4b1!4m6!3m5!1s0x103b8c444faa9dbf:0x146ad37813284593!8m2!3d6.5106575!4d3.3657962!16s%2Fg%2F124t37n71",real estate agents,"Yaba, Lagos"
