Business Name,Rating,Review Count,Address,Phone,Website,Email,Service Type,Search Location,Google Maps URL,Extracted At
"Premier Roofing Company Inc",4.5,46,"905 Atlantic Ave, Brooklyn, NY 11238, United States",+1 718-638-3711,https://www.premierroofingco.net/,,roofing contractors,New York, New York,https://www.google.com/maps/place/Premier+Roofing+Company+Inc/data=!4m7!3m6!1s0x89c25ba3046966d5:0x63a9cf0e954ed05a!8m2!3d40.680981!4d-73.9628783!16s%2Fg%2F1tg690gs!19sChIJ1WZpBKNbwokRWtBOlQ7PqWM?authuser=0&hl=en&rclk=1,2025-11-24T22:20:03.615Z
"Photos & videos",4.5,546,"905 Atlantic Ave, Brooklyn, NY 11238, United States",+1 718-638-3711,https://www.premierroofingco.net/,,roofing contractors,New York, New York,https://www.google.com/maps/contrib/101323182178057199507?hl=en-NG,2025-11-24T22:20:13.128Z
"NYC Commercial Roofing Contractors",4.3,11,"2466 Williamsbridge Rd, Bronx, NY 10469, United States",+1 718-799-3668,https://nyccommercialroofers.com/,,roofing contractors,New York, New York,https://www.google.com/maps/place/NYC+Commercial+Roofing+Contractors/data=!4m7!3m6!1s0x89c2f3c1120ff9cb:0x70b7be38bf49fcd0!8m2!3d40.8624714!4d-73.8575045!16s%2Fg%2F11k30nj9_s!19sChIJy_kPEsHzwokR0PxJvzi-t3A?authuser=0&hl=en&rclk=1,2025-11-24T22:20:52.971Z
"From the owner",4.3,311,"2466 Williamsbridge Rd, Bronx, NY 10469, United States",+1 718-799-3668,https://nyccommercialroofers.com/,,roofing contractors,New York, New York,https://www.google.com/maps/contrib/101344246744507329441?hl=en-NG,2025-11-24T22:21:07.796Z
"Fort-Cica Roofing & General Contractors",4.3,20,"720 E 141st St, Bronx, NY 10454, United States",+1 718-585-9188,https://www.fortcica.com/,,roofing contractors,New York, New York,https://www.google.com/maps/place/Fort-Cica+Roofing+%26+General+Contractors/data=!4m7!3m6!1s0x89c2f5bf7617fb17:0xab2cc1a3f98db41c!8m2!3d40.8067686!4d-73.9115473!16s%2Fg%2F1td6t4wh!19sChIJF_sXdr_1wokRHLSN-aPBLKs?authuser=0&hl=en&rclk=1,2025-11-24T22:21:37.269Z
"Master Roofing Inc",4.5,55,"78-26 Parsons Blvd, Fresh Meadows, NY 11366, United States",+1 718-957-0313,https://www.master-roofers.com/,,roofing contractors,New York, New York,https://www.google.com/maps/place/Master+Roofing+Inc/data=!4m7!3m6!1s0x89c2610a939343e9:0x6c0f2e6b2366bc57!8m2!3d40.7218592!4d-73.809826!16s%2Fg%2F11t9q494jv!19sChIJ6UOTkwphwokRV7xmI2suD2w?authuser=0&hl=en&rclk=1,2025-11-24T22:21:47.556Z
"Edward's Roofing Company",4.5,66,"",+1 718-757-5693,https://www.edwardsroofingcompany.com/,,roofing contractors,New York, New York,https://www.google.com/maps/place/Edward%27s+Roofing+Company/data=!4m7!3m6!1s0x89c2434cd58ea9dd:0x7e47a2ef531f58bb!8m2!3d40.6507535!4d-73.8783995!16s%2Fg%2F1tfjrm3v!19sChIJ3amO1UxDwokRu1gfU--iR34?authuser=0&hl=en&rclk=1,2025-11-24T22:22:02.985Z
"TCI Roofing Repair Contractor Company Bronx NY",4.2,10,"3089 Decatur Ave, Bronx, NY 10467, United States",+1 888-982-8519,http://roofingbronxny.com/,,roofing contractors,New York, New York,https://www.google.com/maps/place/TCI+Roofing+Repair+Contractor+Company+Bronx+NY/data=!4m7!3m6!1s0x89c2f371c8820239:0x41f917eb387275e8!8m2!3d40.8715575!4d-73.878452!16s%2Fg%2F1tdbgc6z!19sChIJOQKCyHHzwokR6HVyOOsX-UE?authuser=0&hl=en&rclk=1,2025-11-24T22:22:20.602Z
"NYC Commercial Roofing Contractors4.3(11)Roofing contractor",4.3,11,"2466 Williamsbridge Rd, Bronx, NY 10469, United States",+1 718-799-3668,https://nyccommercialroofers.com/,,roofing contractors,New York, New York,https://www.google.com/maps/search/NYC%20Commercial%20Roofing%20Contractors4.3(11)Roofing%20contractor,2025-11-24T22:22:41.462Z
"New Edition Contractor Corp",4.5,10,"",+1 347-273-4866,https://www.neweditionsroofing.com/,,roofing contractors,New York, New York,https://www.google.com/maps/place/New+Edition+Contractor+Corp/data=!4m7!3m6!1s0x8829e41ed30bff75:0x58eb071559ec8677!8m2!3d40.7324605!4d-73.92879!16s%2Fg%2F11vd75y9s0!19sChIJdf8L0x7kKYgRd4bsWRUH61g?authuser=0&hl=en&rclk=1,2025-11-24T22:23:16.040Z
