Business Name,City,Rating,Review Count,Opportunity Level,Urgency,Potential Value,Address,Phone,Business Type,Search Strategy,Google Maps URL,Extracted At
"Habib Akbar Motors","Liverpool",1,55,"CRITICAL","IMMEDIATE","VERY HIGH","Some of these hotel and vacation rental search results may be personalized based on your browsing activity and recent searches on Google, as well as travel confirmations sent to your Gmail","+44 151 733 5500","hotel","Direct Rating Search","https://www.google.co.uk/maps/place/Habib+Akbar+Motors/data=!4m7!3m6!1s0x487b20fff43a0fe1:0xb01501f4eaeee772!8m2!3d53.3963327!4d-2.9439297!16s%2Fg%2F11j22mg6wn!19sChIJ4Q869P8ge0gRcufu6vQBFbA?authuser=0&hl=en&rclk=1",2025-08-13T15:10:57.426Z
"One Stop","Liverpool",1,45,"CRITICAL","IMMEDIATE","VERY HIGH","Some of these hotel and vacation rental search results may be personalized based on your browsing activity and recent searches on Google, as well as travel confirmations sent to your Gmail","+44 151 264 7392","hotel","Direct Rating Search","https://www.google.co.uk/maps/place/One+Stop/data=!4m7!3m6!1s0x487b21dfe41dd14f:0x1e71855dd0885c07!8m2!3d53.4107991!4d-2.9650874!16s%2Fg%2F1pxq573ht!19sChIJT9Ed5N8he0gRB1yI0F2FcR4?authuser=0&hl=en&rclk=1",2025-08-13T15:16:26.105Z
"Kwik Fit - Liverpool - Edge Lane","Liverpool",2,733,"HIGH","URGENT","HIGH","Some of these hotel and vacation rental search results may be personalized based on your browsing activity and recent searches on Google, as well as travel confirmations sent to your Gmail","+44 7525 027452","hotel","Direct Rating Search","https://www.google.co.uk/maps/place/Kwik+Fit+-+Liverpool+-+Edge+Lane/data=!4m7!3m6!1s0x487b21ba26bb9157:0x18df54d6600b006c!8m2!3d53.410513!4d-2.925453!16s%2Fg%2F1tdk9m9k!19sChIJV5G7Jrohe0gRbAALYNZU3xg?authuser=0&hl=en&rclk=1",2025-08-13T15:11:25.140Z
"Amsterdam Convenience Store","Liverpool",2,13,"HIGH","URGENT","HIGH","Some of these hotel and vacation rental search results may be personalized based on your browsing activity and recent searches on Google, as well as travel confirmations sent to your Gmail","+44 7935 955800","hotel","Direct Rating Search","https://www.google.co.uk/maps/place/Amsterdam+Convenience+Store/data=!4m7!3m6!1s0x487b21c5f76f10d7:0xbf8b74bdd56ee546!8m2!3d53.4014119!4d-2.9771009!16s%2Fg%2F11hxhzz9pn!19sChIJ1xBv98Uhe0gRRuVu1b10i78?authuser=0&hl=en&rclk=1",2025-08-13T15:16:52.940Z
"New Mart off licence & convenience store(HANIKA PRIVATE LTD)","Liverpool",2.7,21,"MODERATE","HIGH","MODERATE","convenience store","+44 7935 955800","store","Direct Rating Search","https://www.google.co.uk/maps/place/New+Mart+off+licence+%26+convenience+store%28HANIKA+PRIVATE+LTD%29/data=!4m7!3m6!1s0x487b20daf0504dd1:0xe8c10d7a308febb8!8m2!3d53.3880376!4d-2.9800745!16s%2Fg%2F11dx8fwmny!19sChIJ0U1Q8Noge0gRuOuPMHoNweg?authuser=0&hl=en&rclk=1",2025-08-13T15:16:52.941Z
"Go Local Star News","Liverpool",2.8,6,"MODERATE","HIGH","MILD","Go Local Star News  2","+44 151 207 4147","store","Direct Rating Search","https://www.google.co.uk/maps/place/Go+Local+Star+News/data=!4m7!3m6!1s0x487b213c9c99287d:0xd621a5c446a4a7ed!8m2!3d53.4094335!4d-2.9770575!16s%2Fg%2F11fsmtzp34!19sChIJfSiZnDwhe0gR7aekRsSlIdY?authuser=0&hl=en&rclk=1",2025-08-13T15:16:26.107Z
"California Convenience Store","Liverpool",3,21,"MODERATE","HIGH","MODERATE","California Convenience Store  3","","Store","Direct Rating Search","https://www.google.co.uk/maps/place/California+Convenience+Store/data=!4m7!3m6!1s0x487b21250047ec7d:0x81af94601cbf3a0d!8m2!3d53.4049831!4d-2.9811202!16s%2Fg%2F11p796mtnl!19sChIJfexHACUhe0gRDTq_HGCUr4E?authuser=0&hl=en&rclk=1",2025-08-13T15:16:26.106Z
"Convenience store VSL","Liverpool",3,2,"MODERATE","HIGH","MILD","Convenience store VSL  3","","store","Direct Rating Search","https://www.google.co.uk/maps/place/Convenience+store+VSL/data=!4m7!3m6!1s0x487b2100280e7439:0x6063df719ac3ef3e!8m2!3d53.4067687!4d-2.9874787!16s%2Fg%2F11ldgwxx3v!19sChIJOXQOKAAhe0gRPu_DmnHfY2A?authuser=0&hl=en&rclk=1",2025-08-13T15:16:52.942Z
"DAY & NIGHT","Liverpool",3.2,23,"MILD","MODERATE","MILD","Convenience store","+44 151 733 5424","store","Direct Rating Search","https://www.google.co.uk/maps/place/DAY+%26+NIGHT/data=!4m7!3m6!1s0x487b20ffdd4de54b:0x1d10f4f23dc73919!8m2!3d53.3968656!4d-2.9449239!16s%2Fg%2F1yh9txt7b!19sChIJS-VN3f8ge0gRGTnHPfL0EB0?authuser=0&hl=en&rclk=1",2025-08-13T15:16:26.107Z
"Premier","Liverpool",4,13,"MILD","MODERATE","LOW","Convenience store","+44 151 707 0312","store","Direct Rating Search","https://www.google.co.uk/maps/place/Premier/data=!4m7!3m6!1s0x487b21a93381891f:0x9b4b9a9bbb2b5237!8m2!3d53.4043124!4d-2.9771571!16s%2Fg%2F11rq18g57x!19sChIJH4mBM6khe0gRN1Iru5uaS5s?authuser=0&hl=en&rclk=1",2025-08-13T15:16:52.942Z
