Business Name,Phone Number,Address,Rating,Reviews,Website,Email,Google Maps Link,Business Type,Location
Monarch Restaurant,+1 214-945-2222,"1401 Elm St 49th Floor, Dallas, TX 75201, United States",4.3,4.3 stars ,http://www.monarchrestaurants.com/,info@monarchrestaurants.com,"https://www.google.com/maps/place/Monarch+Restaurant/@32.7814389,-96.8006905,17z/data=!3m1!4b1!4m6!3m5!1s0x864e99588e29a6b1:0x6eda5493b4edf10f!8m2!3d32.7814389!4d-96.8006905!16s%2Fg%2F11qs4zxft2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D",Restaurant,"Dallas, Usa"
Moxies Dallas Uptown Restaurant,+1 469-687-0050,"100 Crescent Ct, Dallas, TX 75201, United States",4.3,4.3 stars ,https://moxies.com/restaurants/dallas-crescent-court?utm_source=GMB&utm_medium=google-location-listing&utm_campaign=organic,abraun@eatzhospitality.com,"https://www.google.com/maps/place/Moxies+Dallas+Uptown+Restaurant/@32.7940563,-96.8031768,17z/data=!3m1!4b1!4m6!3m5!1s0x864e99301b7687e5:0x394326a3cbeadf02!8m2!3d32.7940563!4d-96.8031768!16s%2Fg%2F11c0rt3dby?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D",Restaurant,"Dallas, Usa"
Dick's Last Resort - Dallas,+1 214-550-3071,"2211 N Lamar St, Dallas, TX 75201, United States",4.2,4.2 stars ,https://dickslastresort.com/locations/,james@gobestbiz.com,"https://www.google.com/maps/place/Dick's+Last+Resort+-+Dallas/@32.7848448,-96.8086605,17z/data=!3m1!4b1!4m6!3m5!1s0x864e993df5e8dc2d:0xab7f885a00ba7e74!8m2!3d32.7848448!4d-96.8086605!16s%2Fg%2F1tcw40jw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D",Restaurant,"Dallas, Usa"
Grimaldi's Pizzeria,+1 214-559-4611,"3636 McKinney Ave Ste. 190, Dallas, TX 75204, United States",4.2,4.2 stars ,https://www.grimaldispizzeria.com/locations/west-village/,mmoss@grimaldispizzeria.com,"https://www.google.com/maps/place/Grimaldi's+Pizzeria/@32.8070815,-96.7962335,17z/data=!3m1!4b1!4m6!3m5!1s0x864e9ed48ca04a69:0xb820c2fba3e798aa!8m2!3d32.8070815!4d-96.7962335!16s%2Fg%2F1tzvwznq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D",Restaurant,"Dallas, Usa"
Campisi's,+1 214-752-0141,"1520 Elm St #111, Dallas, TX 75201, United States",4,4.0 stars ,https://www.campisis.us/,cater@campisis.us,"https://www.google.com/maps/place/Campisi's/@32.7813078,-96.7987,17z/data=!3m1!4b1!4m6!3m5!1s0x864e9918a3354d6d:0xf50ce931b98f64df!8m2!3d32.7813078!4d-96.7987!16s%2Fg%2F1tdgvtc2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D",Restaurant,"Dallas, Usa"
Villa Azur,+1 214-397-4176,"2440 Victory Park Ln, Dallas, TX 75219, United States",3.3,3.3 stars ,https://www.villaazurdallas.com/,DALWHFB@marriott.com,"https://www.google.com/maps/place/Villa+Azur/@32.7885132,-96.8088533,17z/data=!3m1!4b1!4m6!3m5!1s0x864e99fb90bf3365:0x69ac2f7cf2bca1e1!8m2!3d32.7885132!4d-96.8088533!16s%2Fg%2F11mnn_3g4k?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D",Restaurant,"Dallas, Usa"
Monarch Restaurant,+1 214-945-2222,"1401 Elm St 49th Floor, Dallas, TX 75201, United States",4.3,4.3 stars ,http://www.monarchrestaurants.com/,info@monarchrestaurants.com,"https://www.google.com/maps/place/Monarch+Restaurant/@32.7814389,-96.8006905,17z/data=!3m1!4b1!4m6!3m5!1s0x864e99588e29a6b1:0x6eda5493b4edf10f!8m2!3d32.7814389!4d-96.8006905!16s%2Fg%2F11qs4zxft2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D",Restaurants,"Dallas, Usa"
Moxies Dallas Uptown Restaurant,+1 469-687-0050,"100 Crescent Ct, Dallas, TX 75201, United States",4.3,4.3 stars ,https://moxies.com/restaurants/dallas-crescent-court?utm_source=GMB&utm_medium=google-location-listing&utm_campaign=organic,abraun@eatzhospitality.com,"https://www.google.com/maps/place/Moxies+Dallas+Uptown+Restaurant/@32.7940563,-96.8031768,17z/data=!3m1!4b1!4m6!3m5!1s0x864e99301b7687e5:0x394326a3cbeadf02!8m2!3d32.7940563!4d-96.8031768!16s%2Fg%2F11c0rt3dby?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D",Restaurants,"Dallas, Usa"
Dick's Last Resort - Dallas,+1 214-550-3071,"2211 N Lamar St, Dallas, TX 75201, United States",4.2,4.2 stars ,https://dickslastresort.com/locations/,james@gobestbiz.com,"https://www.google.com/maps/place/Dick's+Last+Resort+-+Dallas/@32.7848448,-96.8086605,17z/data=!3m1!4b1!4m6!3m5!1s0x864e993df5e8dc2d:0xab7f885a00ba7e74!8m2!3d32.7848448!4d-96.8086605!16s%2Fg%2F1tcw40jw?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D",Restaurants,"Dallas, Usa"
"Shake Shack Dallas, Uptown",+1 214-983-1023,"2500 N Pearl St, Dallas, TX 75201, United States",4.3,4.3 stars ,https://www.shakeshack.com/location/dallas-uptown-tx?utm_source=google&utm_medium=listing,share@shakeshack.com,"https://www.google.com/maps/place/Shake+Shack+Dallas,+Uptown/@32.7934617,-96.8031283,17z/data=!3m1!4b1!4m6!3m5!1s0x864e99300bdf9415:0x6ecc6327fda5dcf5!8m2!3d32.7934617!4d-96.8031283!16s%2Fg%2F11c1ww4vwx?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MTEyMy4xIKXMDSoASAFQAw%3D%3D",Food Restaurant,"Dallas, Usa"
