Restaurant Name,Type,City,Country,Rating,Reviews,Phone,Website,Google Maps URL,Priority,Opportunity Level
"Hayris Kebab House Hertfordshire","kebab shops","Watford, England",3.2,200,"TBD","TBD","https://www.google.com/maps/place/Hayris+Kebab+House+Hertfordshire/data=!4m7!3m6!1s0x48766ac15ab51437:0xa14bc68068dd02b4!8m2!3d51.6570864!4d-0.3974097!16s%2Fg%2F1tql482g!19sChIJNxS1WsFqdkgRtALdaIDGS6E?authuser=0&hl=en&rclk=1","HIGH","STRUGGLING"
"Burger King","fast food restaurants","Stoke-on-Trent, England",3.3,2082,"TBD","TBD","https://www.google.com/maps/place/Burger+King/data=!4m7!3m6!1s0x487a4282799f3661:0xfcf49870662e2be1!8m2!3d53.0255978!4d-2.1861044!16s%2Fg%2F11b7q73jrv!19sChIJYTafeYJCekgR4SsuZnCY9Pw?authuser=0&hl=en&rclk=1","HIGH","STRUGGLING"
"The Fish & Chip Co","fish and chips","Middlesbrough, England",3.3,99,"TBD","TBD","https://www.google.com/maps/place/The+Fish+%26+Chip+Co/data=!4m7!3m6!1s0x487eecc582a35cad:0x99f5f2c43133eb20!8m2!3d54.5455113!4d-1.2579929!16s%2Fg%2F1td6m6w5!19sChIJrVyjgsXsfkgRIOszMcTy9Zk?authuser=0&hl=en&rclk=1","HIGH","STRUGGLING"
"McDonalds","fast food restaurants","Coventry, England",3.4,496,"TBD","TBD","https://www.google.com/maps/place/McDonalds/data=!4m7!3m6!1s0x48774b789de6c927:0x583518ab32504ac!8m2!3d52.3908434!4d-1.4837605!16s%2Fg%2F11sk8dxmgn!19sChIJJ8nmnXhLd0gRrAQls4pRgwU?authuser=0&hl=en&rclk=1","HIGH","STRUGGLING"
"Shahi Nan Kebab","kebab shops","Luton, England",3.4,490,"TBD","TBD","https://www.google.com/maps/place/Shahi+Nan+Kebab/data=!4m7!3m6!1s0x48764857d2c93dfd:0xcb8a00733137eacb!8m2!3d51.8857849!4d-0.429218!16s%2Fg%2F1tfmmw_t!19sChIJ_T3J0ldIdkgRy-o3MXMAiss?authuser=0&hl=en&rclk=1","HIGH","STRUGGLING"
"K2 Kebab & Grill","kebab shops","Slough, England",3.4,169,"TBD","TBD","https://www.google.com/maps/place/K2+Kebab+%26+Grill/data=!4m7!3m6!1s0x4876653194524c75:0x34ffb3bddee12eae!8m2!3d51.5198732!4d-0.6003393!16s%2Fg%2F11h9xk815h!19sChIJdUxSlDFldkgRri7h3r2z_zQ?authuser=0&hl=en&rclk=1","HIGH","STRUGGLING"
"McDonald's Coventry- Alvis Retail Park","fast food restaurants","Coventry, England",3.5,2657,"TBD","TBD","https://www.google.com/maps/place/McDonald%27s+Coventry-+Alvis+Retail+Park/data=!4m7!3m6!1s0x48774ba0871cb909:0x96052634acaea8f5!8m2!3d52.4124459!4d-1.5285212!16s%2Fg%2F1tf70fmv!19sChIJCbkch6BLd0gR9aiurDQmBZY?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"McDonald's","fast food restaurants","Stoke-on-Trent, England",3.5,2955,"TBD","TBD","https://www.google.com/maps/place/McDonald%27s/data=!4m7!3m6!1s0x487a4284ad5d9129:0x89d333deea770f47!8m2!3d53.0282214!4d-2.1929871!16s%2Fg%2F1tg_wmd5!19sChIJKZFdrYRCekgRRw936t4z04k?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Surf & Turf at Holyrood Hotel","restaurants","Edinburgh, Scotland",3.5,15,"TBD","TBD","https://www.google.com/maps/place/Surf+%26+Turf+at+Holyrood+Hotel/data=!4m7!3m6!1s0x4887b9e6651344a9:0x215b10553772dde7!8m2!3d55.950801!4d-3.177016!16s%2Fg%2F11h_7xp342!19sChIJqUQTZea5h0gR591yN1UQWyE?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
"Best Kebab","kebab shops","Luton, England",3.6,100,"TBD","TBD","https://www.google.com/maps/place/Best+Kebab/data=!4m7!3m6!1s0x4876484587feebcb:0x6e6f978d315241af!8m2!3d51.8832487!4d-0.4140414!16s%2Fg%2F1tph16ws!19sChIJy-v-h0VIdkgRr0FSMY2Xb24?authuser=0&hl=en&rclk=1","MEDIUM","IMPROVEMENT"
